trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20210917,969018.5040035502,0,969018.5040035502,0.0,1399783.0886017682,2152169.695391164
20210922,969018.5040035502,0,969018.5040035502,0.0,1389932.3973696437,2130315.2637204602
20210923,969018.5040035502,0,969018.5040035502,0.0,1398991.9535118702,2141854.2301329123
20210924,969018.5040035502,0,969018.5040035502,0.0,1397905.782253449,2151144.3478779485
20210927,969018.5040035502,0,969018.5040035502,0.0,1405960.4281982281,2172384.906567496
20210928,969018.5040035502,0,969018.5040035502,0.0,1407822.0819193362,2164201.293712769
20210929,969018.5040035502,0,969018.5040035502,0.0,1393437.8363837507,2153119.5490356954
20210930,2093.437480750188,24,972583.4374807503,0.9938839576621231,1402793.2358281314,2174411.5240832404
20211008,42445.698757000195,23,986658.6987570003,0.040951128846177756,1421114.6792182862,2199319.9312461866
20211011,42445.698757000195,23,982122.6987570003,0.0,1422916.5762244605,2201308.4772944236
20211012,81630.0652727502,22,976295.0652727502,0.04018802705823235,1407824.6474512364,2187884.2223803736
20211013,117116.09838025022,21,984163.0983802502,0.03610400050406224,1424045.7273487602,2223089.6264958763
20211014,117116.09838025022,21,967847.0983802502,0.0,1416407.7641412548,2204230.8203522027
20211015,117116.09838025022,21,975072.0983802502,0.0,1421739.4871276887,2216071.997335987
20211018,117116.09838025022,21,965091.0983802502,0.0,1405212.5324100186,2192214.3540537087
20211019,117116.09838025022,21,975615.0983802502,0.0,1419034.0904996279,2221578.9156484697
20211020,117116.09838025022,21,968615.0983802502,0.0,1415419.688445265,2212583.5159223657
20211021,117116.09838025022,21,970212.0983802502,0.0,1420559.6883680108,2223147.5749166147
20211022,117116.09838025022,21,979771.0983802502,0.0,1429700.4190926077,2245390.928499979
20211025,117116.09838025022,21,978889.0983802502,0.0,1435407.4592176995,2249480.0735803703
20211026,167313.61266745022,20,973280.6126674502,0.05164271777924932,1430672.7268565816,2238215.6866145264
20211027,167313.61266745022,20,959919.6126674502,0.0,1411954.7214175386,2209180.0453707944
20211028,206618.76146185023,19,956903.7614618503,0.04112880896180808,1402146.2029176613,2196966.4128685216
20211029,240273.09637660024,18,968697.0963766002,0.034787079083903,1415011.94183034,2217069.366481731
20211101,240273.09637660024,18,960404.0963766002,0.0,1409798.7233567347,2206962.039030661
20211102,240273.09637660024,18,952132.0963766002,0.0,1395143.6556615725,2177503.655442315
20211103,304588.16245675023,16,954057.1624567502,0.06749992247232812,1389743.4127950626,2169136.7801750894
20211104,343030.86588955024,15,959180.8658895502,0.04013085057144212,1403473.332391293,2197163.564518967
20211105,393719.49489655026,14,956839.4948965502,0.05304401654687905,1395864.339515919,2184110.756831183
20211108,435372.41161975026,13,951878.4116197503,0.04381561288802595,1397545.9736109965,2188792.356777092
20211109,470244.55132750026,12,951531.5513275003,0.0366961373496085,1397132.2887986398,2187427.2767189383
20211110,470244.55132750026,12,947541.5513275003,0.0,1389766.6467131702,2165649.1576348906
20211111,470244.55132750026,12,957336.5513275003,0.0,1412095.5374100383,2202501.0412846636
20211112,470244.55132750026,12,955383.5513275003,0.0,1409132.780458326,2197156.0568456985
20211115,470244.55132750026,12,960340.5513275003,0.0,1407404.015524408,2195852.994959428
20211116,470244.55132750026,12,965635.5513275003,0.0,1407675.8177748236,2201507.0929896953
20211117,470244.55132750026,12,961481.5513275003,0.0,1408377.3898578237,2202775.6395963435
20211118,470244.55132750026,12,954692.5513275003,0.0,1394501.638510098,2180257.1603237437
20211119,470244.55132750026,12,956013.5513275003,0.0,1409617.8101184694,2201291.3004706725
20211122,470244.55132750026,12,953721.5513275003,0.0,1416058.0158429954,2210768.711488927
20211123,514165.37992750027,11,953284.3799275003,0.046133138154791385,1416330.9134890535,2206867.2261728905
20211124,514165.37992750027,11,952816.3799275003,0.0,1417285.6949227434,2203590.144312564
20211125,514165.37992750027,11,952218.3799275003,0.0,1411458.103624543,2196102.4122115932
