symbol,entry_trade_date,exit_trade_date,entry_price,exit_price,shares,entry_value,exit_net_value,realized_pnl,return_pct,holding_days,exit_reason,signal_close_adj,signal_sar,signal_rsi,signal_volume_ratio,signal_strength
300498.SZ,20230427,20230516,19.169333145589796,17.72077340109966,1900,36432.6594965136,33625.699151788634,-2806.960344724961,-0.077045167262455,19.0,sar_break,17.644399574920296,21.4043709282447,12.716763005780365,1.1241612375849852,0.0
601668.SH,20230329,20230522,5.128313981048642,5.384131603284902,17700,90798.38881180034,95175.24050995118,4376.851698150844,0.0482040678852003,54.0,sar_break,5.378122552116234,6.396310802274162,51.24378109452734,0.7385751463954932,0.0
601328.SH,20221129,20230523,3.9052302193804422,4.820747939587697,3700,14453.68661725115,17813.579578885063,3359.892961633912,0.2324592369135582,175.0,sar_break,4.823159519347371,5.378402969169147,57.96178343949043,0.4574447750109575,0.0
601398.SH,20221227,20230524,3.59020197476467,4.1577838774283995,5800,20829.418405071177,24083.796798648906,3254.378393577732,0.1562395228848739,148.0,sar_break,4.143056278790305,4.5968596034448215,57.553956834532336,0.9396329089901865,0.0
600030.SH,20230427,20230525,19.35835747038943,18.97288192187072,2000,38728.32995526109,37896.434350744574,-831.8956045165178,-0.0214802860200148,28.0,sar_break,19.048121060804434,22.45762201991292,39.262472885032516,0.8972553707603534,0.0
000333.SZ,20230427,20230526,48.60119108578874,46.685538401854416,800,38892.617154491585,37299.877761545606,-1592.7393929459795,-0.0409522297411666,29.0,sar_break,46.70889284827855,50.80813654575754,42.77899343544861,0.883907151319388,0.0
601318.SH,20230427,20230529,40.57591878064351,41.95901893322268,900,36529.282400649936,37714.02498774854,1184.7425870986044,0.0324326816526109,32.0,sar_break,41.81599080694586,48.34218590398366,23.615635179153045,0.4052753249186165,0.0
600276.SH,20230201,20230601,41.74424960422139,44.9906535301722,100,4175.6772879102655,4493.2165680582975,317.53928014803205,0.0760449762407156,120.0,sar_break,45.00355953854198,49.696576175382255,46.33943427620631,2.4685446971108895,0.0
300750.SZ,20230427,20230608,212.71607877461707,201.85301904240913,100,21277.989359824947,20159.0610117654,-1118.9283480595475,-0.0525861879681263,42.0,sar_break,196.78055642388247,232.12431384807755,27.660427338899083,2.2638700481694367,0.0
601816.SH,20230329,20230616,4.910936731517509,5.125284880489161,18500,90879.58523193384,94694.50718767372,3814.921955739875,0.0419777659196376,79.0,sar_break,5.137344821196961,5.5825680933852135,47.582379054916125,1.9410527024280164,0.0
600887.SH,20230530,20230630,25.45081926231761,25.51085568276029,3900,99287.9725815756,99362.99712445354,75.02454287794535,0.0007556256908791,31.0,sar_break,25.52361749150604,27.052525097034536,44.019084408471564,1.1601561563209346,0.0
600900.SH,20230530,20230707,20.804535265998457,19.94569706218595,7400,153999.7470366791,147406.28065443778,-6593.466382241313,-0.042814787096182,38.0,sar_break,19.99202403424348,21.203113817031348,41.610738255033446,0.842209986813895,0.0
601166.SH,20230530,20230711,14.0133199617383,13.911374637706777,7000,98122.66770408775,97253.02895474432,-869.6387493434449,-0.0088627711587097,42.0,sar_break,13.882415523822988,14.983501696592676,33.868315805065876,0.7782084983346235,0.0
002230.SZ,20230629,20230721,69.77763326474471,63.44822627274063,100,6979.856655472413,6336.574357858607,-643.2822976138059,-0.092162680319438,22.0,sar_break,63.758692781690144,81.50073356807512,42.229778477486555,0.933806194877531,0.0
002129.SZ,20230629,20230724,30.69890197808997,27.736839812017763,800,24566.48931894672,22160.62553620971,-2405.8637827370076,-0.0979327469831639,25.0,sar_break,27.915264230601252,32.58071407774057,26.25850340136057,1.268885299336699,0.0
601138.SH,20230727,20230802,21.552939453685727,21.219225491851724,800,17247.524268417466,16953.312398969854,-294.2118694476121,-0.0170582087532616,6.0,left_universe,21.630583467026938,20.283853561065513,52.95089603664992,1.1391914501241711,0.7080173529391172
600276.SH,20230727,20230802,47.94285128422176,42.8606626519881,400,19182.89365584281,17121.977516216208,-2060.9161396266027,-0.1074351021593074,6.0,sar_break,43.01099788838335,50.07043322644903,30.243024302430186,3.881081749702279,0.0
000063.SZ,20230629,20230808,40.758222248691936,36.11463833328462,200,8154.089943073309,7213.537860690269,-940.5520823830402,-0.1153472783534863,40.0,sar_break,35.18486744029698,44.758981029493434,25.162866449511412,3.054316825903973,0.0
000333.SZ,20230629,20230809,54.25642359323475,51.90595263092578,300,16281.810156093818,15551.542467751671,-730.2676883421445,-0.0448517505941331,41.0,sar_break,51.75938729922349,55.6640428323228,43.084455324357414,0.7012799740900986,0.0
000725.SZ,20230629,20230814,3.9131436836674527,3.8504470445165104,2900,11351.521117640405,11151.780243740051,-199.74087390034947,-0.0175959566854832,46.0,sar_break,3.8817806603773586,4.3424970518867925,31.666666666666657,1.3506159738823287,0.0
