relative_path,bytes,sha256,rows,start_date,end_date,columns
data/interim/sar_project/prices/002241.SZ.csv,555275,5537872c3926e18eea80ec8eebf76da243dba7086704ca3bc2bbf884f7461e95,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002271.SZ.csv,550890,25e9a8eafab482371023919b3b54996044fc89052ce7e476b903f1cecaf6d15a,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002304.SZ.csv,548361,df95cf6bb8dcb90381aaaf283aa8192e954125d11c7c6f47c29e31ecfbc3223b,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002352.SZ.csv,533461,3737c3a95a8b2155e77a2433fab85f65996f389ae24c67fee6baa126bb678b01,2382,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002371.SZ.csv,553658,fb135c91ecf774183b87d7321a18dfd8b840c700a15feb6adc6facd75a0a727b,2420,20160111,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002415.SZ.csv,553669,82455090f52df2b88887d4f3047510d538ecd52530a30a96f2d811080d84ce97,2428,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002450.SZ.csv,135238,318600ff745327c0cf5eabe33181b28d00c3b0c5adf7a4960aa6d9d577da17a6,666,20160104,20210528,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002460.SZ.csv,547464,550150112dc4c2f7d5c6f2c7afe1ee66b128a580df95765e9f281a7a0e88c5fd,2427,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002466.SZ.csv,518553,3f7a3bef6eb97ec56f4609bf47e54469fbb9baa73001e6767326711466669ed4,2404,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002475.SZ.csv,546276,8614bfd722f0523ece844b6d2b1350859764c1427e3ed3b8c294bd6f8f1c6169,2429,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002594.SZ.csv,554078,3cea5b649c799848017950326f8e85c53e6a68cf3f97e55de242a589c03d8d7e,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
