acceleration,maximum,volume_threshold,rsi_ceiling,max_positions,rebalance_interval,stop_loss,take_profit,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,benchmark_total_return,excess_total_return,benchmark_annual_return,excess_annual_return,benchmark_max_drawdown,max_drawdown_gap,beats_benchmark_total_return,beats_benchmark_annual_return,calmar_ratio,information_ratio,positive_day_ratio,trade_win_rate,average_win,average_loss,payoff_ratio,profit_factor,average_holding_days,turnover,average_exposure,median_exposure,low_exposure_day_ratio,average_positions,zero_position_day_ratio,executed_trade_count,sell_trade_count,unique_symbols_traded,top_symbol_trade_value_share,final_value,passes_selection_constraints,meets_sample_in_floor,excess_total_return_for_score
0.003,0.05,0.5,100,30,60,0.3,10.0,0.41926906295045674,0.07513170603222741,0.11867082814396758,0.38031002848884726,-0.2536986696146375,0.5022165042569666,-0.08294744130650988,0.08784081912570496,-0.012709113093477553,-0.32461968881054826,0.07092101919591076,0.0,0.0,0.29614544745682253,-0.1623700938809055,0.4782251437962202,0.43386243386243384,0.12997049032099417,-0.05464332524441742,2.3785245451231476,1.5386663764292041,48.164021164021165,35.98067334581946,0.478561468839417,0.43518119905850594,0.24548440065681446,9.959770114942529,0.09688013136288999,767.0,378.0,87.0,0.035109867307896614,1419269.0629504567,1.0,0.0,-0.08294744130650988
0.003,0.05,0.5,100,30,60,1.0,10.0,0.41926906295045674,0.07513170603222741,0.11867082814396758,0.38031002848884726,-0.2536986696146375,0.5022165042569666,-0.08294744130650988,0.08784081912570496,-0.012709113093477553,-0.32461968881054826,0.07092101919591076,0.0,0.0,0.29614544745682253,-0.1623700938809055,0.4782251437962202,0.43386243386243384,0.12997049032099417,-0.05464332524441742,2.3785245451231476,1.5386663764292041,48.164021164021165,35.98067334581946,0.478561468839417,0.43518119905850594,0.24548440065681446,9.959770114942529,0.09688013136288999,767.0,378.0,87.0,0.035109867307896614,1419269.0629504567,1.0,0.0,-0.08294744130650988
0.003,0.05,0.5,100,50,20,0.3,10.0,0.6312300189145124,0.10654393745669033,0.18083635991426222,0.42327736243408787,-0.29328101123773476,0.5022165042569666,0.12901351465754574,0.08784081912570496,0.01870311833098537,-0.32461968881054826,0.0313386775728135,1.0,1.0,0.36328276763314005,0.09787109817423423,0.5061626951520132,0.41118421052631576,0.13539789261322727,-0.06665765194062165,2.0312430556935777,1.4540115809911518,54.14309210526316,50.51218674131992,0.7534932294228013,0.8609345415673432,0.07799671592775041,18.37192118226601,0.0361247947454844,1229.0,608.0,96.0,0.04381457738030721,1631230.0189145124,1.0,1.0,0.12
0.003,0.05,0.5,100,50,20,1.0,10.0,0.6312300189145124,0.10654393745669033,0.18083635991426222,0.42327736243408787,-0.29328101123773476,0.5022165042569666,0.12901351465754574,0.08784081912570496,0.01870311833098537,-0.32461968881054826,0.0313386775728135,1.0,1.0,0.36328276763314005,0.09787109817423423,0.5061626951520132,0.41118421052631576,0.13539789261322727,-0.06665765194062165,2.0312430556935777,1.4540115809911518,54.14309210526316,50.51218674131992,0.7534932294228013,0.8609345415673432,0.07799671592775041,18.37192118226601,0.0361247947454844,1229.0,608.0,96.0,0.04381457738030721,1631230.0189145124,1.0,1.0,0.12
0.003,0.05,0.5,100,50,60,0.3,10.0,0.36932903776992276,0.0671930709253501,0.11986335778401677,0.31029558668270196,-0.2598833991311522,0.5022165042569666,-0.13288746648704386,0.08784081912570496,-0.020647748200354865,-0.32461968881054826,0.06473628967939604,0.0,0.0,0.25855083914552224,-0.21221197504510375,0.47493837304847986,0.4206730769230769,0.12824969119083934,-0.05681423234639332,2.257351475047799,1.4590664168228638,48.75961538461539,35.83567600611102,0.4757032941122111,0.4387835100084057,0.25205254515599346,11.13464696223317,0.090311986863711,845.0,416.0,88.0,0.036470890932630465,1369329.0377699228,1.0,0.0,-0.13288746648704386
0.003,0.05,0.5,100,50,60,1.0,10.0,0.36932903776992276,0.0671930709253501,0.11986335778401677,0.31029558668270196,-0.2598833991311522,0.5022165042569666,-0.13288746648704386,0.08784081912570496,-0.020647748200354865,-0.32461968881054826,0.06473628967939604,0.0,0.0,0.25855083914552224,-0.21221197504510375,0.47493837304847986,0.4206730769230769,0.12824969119083934,-0.05681423234639332,2.257351475047799,1.4590664168228638,48.75961538461539,35.83567600611102,0.4757032941122111,0.4387835100084057,0.25205254515599346,11.13464696223317,0.090311986863711,845.0,416.0,88.0,0.036470890932630465,1369329.0377699228,1.0,0.0,-0.13288746648704386
0.003,0.05,1.0,100,30,20,0.3,10.0,0.5817766736151417,0.09951826528044228,0.1995928425338741,0.34830039192735035,-0.3454030874461733,0.5022165042569666,0.07956016935817511,0.08784081912570496,0.011677446154737314,-0.32461968881054826,-0.02078339863562506,1.0,1.0,0.2881221068875099,0.0663229637368919,0.4905505341002465,0.39893617021276595,0.1342063958302744,-0.06309569270947439,2.1270294384155655,1.3704956428459634,51.51063829787234,52.39227265940041,0.7483502563456623,0.9002381538413761,0.08949096880131363,10.79064039408867,0.054187192118226604,756.0,376.0,84.0,0.04491565708100411,1581776.6736151418,1.0,0.0,0.07956016935817511
0.003,0.05,1.0,100,30,20,1.0,10.0,0.5817766736151417,0.09951826528044228,0.1995928425338741,0.34830039192735035,-0.3454030874461733,0.5022165042569666,0.07956016935817511,0.08784081912570496,0.011677446154737314,-0.32461968881054826,-0.02078339863562506,1.0,1.0,0.2881221068875099,0.0663229637368919,0.4905505341002465,0.39893617021276595,0.1342063958302744,-0.06309569270947439,2.1270294384155655,1.3704956428459634,51.51063829787234,52.39227265940041,0.7483502563456623,0.9002381538413761,0.08949096880131363,10.79064039408867,0.054187192118226604,756.0,376.0,84.0,0.04491565708100411,1581776.6736151418,1.0,0.0,0.07956016935817511
0.003,0.05,1.0,100,30,60,0.3,10.0,0.10582060012757877,0.02102930900616906,0.1424366412060189,-0.06298021996219233,-0.3391298565696136,0.5022165042569666,-0.39639590412938785,0.08784081912570496,-0.0668115101195359,-0.32461968881054826,-0.014510167759065329,0.0,0.0,0.062009606641202204,-0.43828726869129836,0.38126540673788,0.4528301886792453,0.1455814083904788,-0.059818992164494364,2.433698782322328,1.1350719815901915,50.74842767295598,35.68931079396135,0.45030560454855423,0.37523561860463134,0.3924466338259442,4.384236453201971,0.26354679802955666,319.0,159.0,69.0,0.07045658183312929,1105820.6001275787,0.0,0.0,-0.39639590412938785
0.003,0.05,1.0,100,30,60,1.0,10.0,0.10582060012757877,0.02102930900616906,0.1424366412060189,-0.06298021996219233,-0.3391298565696136,0.5022165042569666,-0.39639590412938785,0.08784081912570496,-0.0668115101195359,-0.32461968881054826,-0.014510167759065329,0.0,0.0,0.062009606641202204,-0.43828726869129836,0.38126540673788,0.4528301886792453,0.1455814083904788,-0.059818992164494364,2.433698782322328,1.1350719815901915,50.74842767295598,35.68931079396135,0.45030560454855423,0.37523561860463134,0.3924466338259442,4.384236453201971,0.26354679802955666,319.0,159.0,69.0,0.07045658183312929,1105820.6001275787,0.0,0.0,-0.39639590412938785
0.003,0.05,1.0,100,50,20,0.3,10.0,0.5144431957673141,0.08966680682096517,0.20021557705714127,0.2980128104814559,-0.348314372773585,0.5022165042569666,0.012226691510347498,0.08784081912570496,0.0018259876952602117,-0.32461968881054826,-0.023694683963036756,1.0,1.0,0.2574306828252859,0.01459957777201014,0.4847986852917009,0.42783505154639173,0.1316031594602576,-0.06323296030236611,2.081243054744871,1.3298442274313138,52.425257731958766,52.8148804901392,0.7500533166597468,0.9154066358729314,0.090311986863711,11.341543513957307,0.054187192118226604,780.0,388.0,85.0,0.045617977419534515,1514443.1957673142,1.0,0.0,0.012226691510347498
0.003,0.05,1.0,100,50,20,1.0,10.0,0.5144431957673141,0.08966680682096517,0.20021557705714127,0.2980128104814559,-0.348314372773585,0.5022165042569666,0.012226691510347498,0.08784081912570496,0.0018259876952602117,-0.32461968881054826,-0.023694683963036756,1.0,1.0,0.2574306828252859,0.01459957777201014,0.4847986852917009,0.42783505154639173,0.1316031594602576,-0.06323296030236611,2.081243054744871,1.3298442274313138,52.425257731958766,52.8148804901392,0.7500533166597468,0.9154066358729314,0.090311986863711,11.341543513957307,0.054187192118226604,780.0,388.0,85.0,0.045617977419534515,1514443.1957673142,1.0,0.0,0.012226691510347498
0.003,0.05,1.0,100,50,60,0.3,10.0,0.10582060012757877,0.02102930900616906,0.1424366412060189,-0.06298021996219233,-0.3391298565696136,0.5022165042569666,-0.39639590412938785,0.08784081912570496,-0.0668115101195359,-0.32461968881054826,-0.014510167759065329,0.0,0.0,0.062009606641202204,-0.43828726869129836,0.38126540673788,0.4528301886792453,0.1455814083904788,-0.059818992164494364,2.433698782322328,1.1350719815901915,50.74842767295598,35.68931079396135,0.45030560454855423,0.37523561860463134,0.3924466338259442,4.384236453201971,0.26354679802955666,319.0,159.0,69.0,0.07045658183312929,1105820.6001275787,0.0,0.0,-0.39639590412938785
0.003,0.05,1.0,100,50,60,1.0,10.0,0.10582060012757877,0.02102930900616906,0.1424366412060189,-0.06298021996219233,-0.3391298565696136,0.5022165042569666,-0.39639590412938785,0.08784081912570496,-0.0668115101195359,-0.32461968881054826,-0.014510167759065329,0.0,0.0,0.062009606641202204,-0.43828726869129836,0.38126540673788,0.4528301886792453,0.1455814083904788,-0.059818992164494364,2.433698782322328,1.1350719815901915,50.74842767295598,35.68931079396135,0.45030560454855423,0.37523561860463134,0.3924466338259442,4.384236453201971,0.26354679802955666,319.0,159.0,69.0,0.07045658183312929,1105820.6001275787,0.0,0.0,-0.39639590412938785
0.003,0.1,0.0,100,30,20,0.3,10.0,0.5777323387356217,0.09893603011615282,0.17977187223593405,0.38346393826104574,-0.28263267370400225,0.5022165042569666,0.07551583447865506,0.08784081912570496,0.011095210990447857,-0.32461968881054826,0.04198701510654601,1.0,1.0,0.350051637057955,0.04849261965682723,0.5225965488907148,0.4308510638297872,0.1338920144188218,-0.0614525771968324,2.1787859928146887,1.4414414055171965,54.31028368794326,52.84085731811668,0.7691353546032129,0.8503726865003847,0.06239737274220033,17.08128078817734,0.021346469622331693,1139.0,564.0,93.0,0.04487905195564232,1577732.3387356217,1.0,0.0,0.07551583447865506
0.003,0.1,0.0,100,30,20,1.0,10.0,0.5777323387356217,0.09893603011615282,0.17977187223593405,0.38346393826104574,-0.28263267370400225,0.5022165042569666,0.07551583447865506,0.08784081912570496,0.011095210990447857,-0.32461968881054826,0.04198701510654601,1.0,1.0,0.350051637057955,0.04849261965682723,0.5225965488907148,0.4308510638297872,0.1338920144188218,-0.0614525771968324,2.1787859928146887,1.4414414055171965,54.31028368794326,52.84085731811668,0.7691353546032129,0.8503726865003847,0.06239737274220033,17.08128078817734,0.021346469622331693,1139.0,564.0,93.0,0.04487905195564232,1577732.3387356217,1.0,0.0,0.07551583447865506
