trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20220401,741.8707667813578,10,886899.2400081791,0.8626226743603131,1232653.905538038,1885764.8791200763
20220406,741.8707667813578,10,888225.6108752277,0.0,1229103.4111715711,1878817.480971032
20220407,50439.924156140616,9,877660.4579177466,0.05669931293915957,1213323.57393468,1858026.859677892
20220408,50439.924156140616,9,885059.5807759652,0.0,1219569.3757588135,1867971.079637622
20220411,99616.19849424376,8,867517.3739053289,0.05676000065469669,1181894.5109781993,1821933.5787851834
20220412,187762.99879914662,7,864761.7451889842,0.10206457535654953,1204927.3375065601,1856391.0216808629
20220413,187762.99879914662,7,863995.1020342914,0.0,1193328.9137001766,1847840.70630984
20220414,187762.99879914662,7,877274.6191241447,0.0,1208269.9373105073,1867240.6264080207
20220415,187762.99879914662,7,882875.0844305478,0.0,1207456.6925243456,1861386.1740866124
20220418,256998.62025103782,6,866175.0192788439,0.08003664776433579,1201010.3468189796,1852692.2710247547
20220419,256998.62025103782,6,867129.6599649568,0.0,1191935.0803971398,1839939.87807377
20220420,256998.62025103782,6,848436.1567447854,0.0,1173453.7957217419,1807059.4203562087
20220421,256998.62025103782,6,842948.1105365378,0.0,1151845.9924460363,1773315.6498297749
20220422,256998.62025103782,6,856372.1880328504,0.0,1156867.4590297528,1782136.6666202599
20220425,256998.62025103782,6,836040.2104494566,0.0,1099694.4076766248,1695424.589336557
20220426,256998.62025103782,6,847858.3436236975,0.0,1090817.984390151,1693925.4575386036
20220427,256998.62025103782,6,841936.418050535,0.0,1122935.0711151029,1743508.4160180455
20220428,256998.62025103782,6,854963.8733155483,0.0,1130306.2766573897,1759300.406224584
20220429,256998.62025103782,6,861829.8245310762,0.0,1157729.7083578284,1790841.3043506937
20220505,256998.62025103782,6,850939.833840857,0.0,1155991.2578203322,1783110.1546891818
20220506,813.0150027996024,23,827947.758168798,0.3093296286989148,1126762.8735364,1730630.7367403982
20220509,9921.458153651287,22,819581.4847207051,0.011127996069069335,1117717.615189932,1709992.8900916816
20220510,292824.5557690904,18,820584.4386363372,0.34520682702887595,1129949.1488516417,1724933.1767826043
20220511,292824.5557690904,18,815476.6062425778,0.0,1146251.7204197487,1745633.2071317756
20220512,292824.5557690904,18,811783.4541792969,0.0,1141154.354448468,1735316.315762865
20220513,292824.5557690904,18,821705.834864077,0.0,1149761.9157570414,1751475.6308361816
20220516,292824.5557690904,18,821809.1595522502,0.0,1140519.543847275,1739202.1526601135
20220517,301932.8958725946,17,822925.4334321903,0.011082652192110297,1154746.8883701323,1759612.2817768063
20220518,301932.8958725946,17,818799.2168008495,0.0,1150715.111749669,1747430.3052756034
20220519,301932.8958725946,17,821145.5079667692,0.0,1152932.2790092619,1745281.4001723353
